rank,fit,verdict,type,university,course,degree,universityCity,universityState,domainHits,focus,feePerYear,admissionSemester,admissionModus,detailUrl
"11","80","APPLY","TU","Technical University of Hamburg","Computational Science and Engineering","Master of Science, Master","Hamburg","Hamburg","Engineering Informatics","Infotronics, Communication and Media Technology, Media Systems Engineering, Scientific Computing, Software Engineering for Embedded Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-hamburg-computational-science-and-engineering-w21012/?hec-id=w21012"
"12","80","APPLY","TU","Technical University of Hamburg","Computer Science","Master of Science, Master","Hamburg","Hamburg","Engineering Informatics","Applied Mathematics, Business Administration, Computer Science, Mathematics, Software Engineering","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-hamburg-computer-science-w46833/?hec-id=w46833"
"13","80","APPLY","Hochschule","Technische Hochschule Deggendorf","Applied Computer Science","Master of Science, Master","Deggendorf","Bavaria","Applied Computer Science","Embedded systems, Digitisation, Automation, Communications Technology, Software Development, Geoinformatics, Programming, Automotive, Security Systems, Microcontroller","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-applied-computer-science-w48416/?hec-id=w48416"
"14","80","APPLY","TU","Technische Universität Ilmenau","Data Science","Master of Science, Master","Ilmenau","Thuringia","Mathematics, Computer Science, Data Science","Artificial Intelligence, Machine Learning, Reinforcement Learning, Bayesian Inference, Causal Inference, Data Assimilation, Cloud Computing, Data Management, Uncertainty Quantification, Statistical Analysis","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-ilmenau-data-science-w72756/?hec-id=w72756"
"15","80","APPLY","University","University of Freiburg","Computer Science","Master of Science, Master","Freiburg","Baden-Württemberg","Computer Science","Robotics and Autonomous Intelligent Systems, Artificial Intelligence, Machine Learning, Image Recognition and Computer Graphics, Software Development and Programming Languages, Embedded Systems, Theoretical and Applied Algorithms, Networks and Distributed Systems, Data Management and Communication, Bioinformatics","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-freiburg-computer-science-w12313/?hec-id=w12313"
"16","80","APPLY","University","University of Freiburg","Embedded Systems Engineering","Master of Science, Master","Freiburg","Baden-Württemberg","Electrical Engineering, Computer Science","Circuits and Systems, Design and Simulation, Sensor and Actuator Engineering, Reliable Embedded Systems, Distributed Systems, Robotics and Image Recognition","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-freiburg-embedded-systems-engineering-w40759/?hec-id=w40759"
"17","80","APPLY","University","University of Rostock","Computer Science International","Master of Science, Master","Rostock","Mecklenburg-West Pomerania","Computer Science","Information Systems, Complex Systems, Databases, Big Data, Data Mining, Machine Learning, Software Engineering, Distributed Systems, Cryptographic Algorithms, Verification Techniques","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computer-science-international-w65237/?hec-id=w65237"
"18","78","APPLY","University","Lübeck University","Artificial Intelligence","Master of Science, Master","Lübeck","Schleswig-Holstein","Artificial Intelligence, Software Engineering","Machine Learning, Natural Language Processing, Deep Learning, Computer Vision, Parallel Computing, Fairness in AI, Intelligent Agents, Bio-Inspired Computing, Trustworthy AI","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/luebeck-university-artificial-intelligence-w67910/?hec-id=w67910"
"19","76","APPLY","Hochschule","Berlin School of Applied Sciences (HTW)","Project Management and Data Science","Master of Science, Master","Berlin","Berlin","Data Science","International Project Management, Data Analysis, Statistical Programming, Data Mining, Change Management, Law","8800","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-school-of-applied-sciences-htw-project-management-and-data-science-w56355/?hec-id=w56355"
"20","76","APPLY","Private","University of Europe for Applied Sciences","DevOps","Master of Science degree, Master","Potsdam","Brandenburg","Systems Engineering, Applied Computer Science, Software Engineering","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-europe-for-applied-sciences-devops-w70241/?hec-id=w70241"
"21","74","APPLY","Private","Fresenius Heidelberg University state-approved university of Hochschule Fresenius für Internationales Management GmbH","SAP Engineering & Analytics","Master's, Master","Heidelberg","Baden-Württemberg","Software Engineering","SAP Business Software, ERP Management, Business Analytics, Database Theory, Product Management","10560","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fresenius-heidelberg-universitystate-approved-university-of-hochschule-fresenius-fuer-internationales-management-gmbh-sap-engineering-analytics-w72471/?hec-id=w72471"
"22","74","APPLY","Private","SRH University of Applied Sciences Heidelberg","Infomation Technology and Business Transformation","Master of Science (M.Sc.), Master","Heidelberg","Baden-Württemberg","Information Systems and Management, Computer Science","Software Architecture, Data Systems, Cloud Platforms, AI Engineering, Enterprise Data and AI Engineering, Enterprise Cloud and Platform Engineering, DevSecOps, Solution Architecture, Agent-based Systems","9480","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/srh-university-of-applied-sciences-heidelberg-infomation-technology-and-business-transformation-w76948/?hec-id=w76948"
"23","72","APPLY","Private","IU International University","Data Science","Master of Science, Master","Erfurt","Thuringia","Computer Engineering, Data Science","Data Science, Phyton, Academic Work, Statistics, SQL, Cloud Computing, Neural networks and deep learning","6588","Admission in all quarters","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-data-science-w64134/?hec-id=w64134"
"24","72","APPLY","Private","IU International University","Computer Science","Master of Science, Master","Erfurt","Thuringia","Data Science","Programming with Python, Advanced Mathematics, Advanced Statistics, Data Science, Algorithmics, Big Data Technologies, Artificial Intelligence, Networks and Distributed Systems","6588","Admission in all quarters","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-computer-science-w64341/?hec-id=w64341"
"25","70","APPLY","Hochschule","Augsburg University of Applied Sciences","International Master of Research and Innovation","Master, Master","Augsburg","Bavaria","Information Systems and Management, Computer Science","Wirtschaftspsychologie, Wirtschaftsinformatik, Human Technology Interaction","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/augsburg-university-of-applied-sciences-international-master-of-research-and-innovation-w76837/?hec-id=w76837"
"26","70","APPLY","University","Berlin University of Technology","Computer Science (Informatik)","Master of Science, Master","Berlin","Berlin","Computer Science","System Engineering, Dependable Systems, Intelligent Systems, Communication Based Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-technology-computer-science-informatik-w15731/?hec-id=w15731"
"27","70","APPLY","Hochschule","Bonn-Rhine-Sieg University of Applied Sciences","Autonomous Systems","Master of Science, Master","Sankt Augustin","North Rhine-Westphalia","Computer Science","Safety and Security of Intelligent Systems, Explainable Robotics, Intelligent Manipulation, Machine Learning, Artificial Intelligence, Autonomous Systems, Intelligent Robots, Systems Engineering, Human Robot Interaction","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bonn-rhine-sieg-university-of-applied-sciences-autonomous-systems-w7153/?hec-id=w7153"
"28","70","APPLY","TU","Brandenburgische Technische Universität Cottbus-Senftenberg","Artificial Intelligence","Master, Master","Cottbus","Brandenburg","Robotics, Artificial Intelligence, Software Engineering, Engineering Informatics, Data Science","Software Systems, Programming, Artificial Intelligence, Ethics, Society, Media, Machine Learning, Cognition and Perception","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/brandenburgische-technische-universitaet-cottbus-senftenberg-artificial-intelligence-w65719/?hec-id=w65719"
"29","70","APPLY","Hochschule","FH Aachen - University of Applied Sciences","Information Systems","Master of Science, Master","Aachen","North Rhine-Westphalia","Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fh-aachen-university-of-applied-sciences-information-systems-w70248/?hec-id=w70248"
"30","70","APPLY","Hochschule","FH Aachen - University of Applied Sciences","Information Systems (part-time)","Master of Science, Master","Aachen","North Rhine-Westphalia","Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/fh-aachen-university-of-applied-sciences-information-systems-part-time-w70606/?hec-id=w70606"
"31","70","APPLY","Hochschule","Hochschule Kaiserslautern (University of Applied Sciences)","Computer Science – degree programme with vocational and academic elements","Master of Science, Master","Zweibrücken","Rhineland-Palatinate","Applied Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-kaiserslautern-university-of-applied-sciences-computer-science-degree-programme-with-vocational-and-academic-elements-w74100/?hec-id=w74100"
"32","70","APPLY","Hochschule","Hochschule Schmalkalden","Applied Computer Science","Master of Science, Master","Schmalkalden","Thuringia","Applied Computer Science, Computer Science","Distributed and Mobile Systems, Knowledge Engineering and Data Science, Software Engineering, Communication Technologies and Security","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-schmalkalden-applied-computer-science-w60464/?hec-id=w60464"
"33","70","APPLY","TU","Karlsruhe Institute of Technology (KIT)","Computational and Data Science","Master of Science, Master","Karlsruhe","Baden-Württemberg","Mathematics, Statistics, Artificial Intelligence, Computer Science, Data Science","Business and Economics, Computational Chemistry, Computational Earth System Sciences, Computational Mechanics and Thermodynamics, Computational Physics, Electrical Engineering and Information Technology, Process Engineering, Robotics and Autonomous Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/karlsruhe-institute-of-technology-kit-computational-and-data-science-w76982/?hec-id=w76982"
"34","70","APPLY","University","Lübeck University","IT Security","Master of Science, Master","Lübeck","Schleswig-Holstein","Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/luebeck-university-it-security-w55385/?hec-id=w55385"
"35","70","APPLY","University","Lübeck University","Robotics and Autonomous Systems","Master of Science, Master","Lübeck","Schleswig-Holstein","Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/luebeck-university-robotics-and-autonomous-systems-w55386/?hec-id=w55386"
"36","70","APPLY","Hochschule","Rhine-Waal University of Applied Sciences","Design and Interaction","Master of Arts, Master","Kamp-Lintfort","North Rhine-Westphalia","Computer Science","Media Design, Creative Technologies, Digital Innovation, Interactive Media, Media Computing, Design, Generative Design, Creative Informatics, Digital Storytelling","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhine-waal-university-of-applied-sciences-design-and-interaction-w44336/?hec-id=w44336"
"37","70","APPLY","TU","Rhineland-Palatinate Technical University of Kaiserslautern-Landau","European Master's degree in Embedded Computing Systems (EMECS)","Master of Science, Master","Kaiserslautern","Rhineland-Palatinate","Computer Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rhineland-palatinate-technical-university-of-kaiserslautern-landau-european-masters-degree-in-embedded-computing-systems-emecs-w35054/?hec-id=w35054"
"38","70","APPLY","TU","RWTH Aachen University","Software Systems Engineering","Master of Science, Master","Aachen","North Rhine-Westphalia","Information Technology, Software Engineering","Software Systems Development, Theoretical Foundations of Software Engineering, Communication Systems, Data and Information Management, Applied Computer Science, Software Project Management, System Architecture","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-software-systems-engineering-w5622/?hec-id=w5622"
"39","70","APPLY","TU","RWTH Aachen University","Data Science","Master of Science, Master","Aachen","North Rhine-Westphalia","Computer Science","Machine Learning, Statistical Analysis, Data Mining, Systems Engineering, Computer Science, Mathematics, Statistics, Business Analytics, Computational Life Science","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-data-science-w64410/?hec-id=w64410"
"40","70","APPLY","University","Saarland University","Visual Computing","Master of Science, Master","Saarbrücken","Saarland","Computer Science","Computer Science, Mathematics, Image Analysis, Imaging, Modelling","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-visual-computing-w16715/?hec-id=w16715"
"41","70","APPLY","University","Saarland University","Mathematics and Computer Science","Master of Science, Master","Saarbrücken","Saarland","Mathematics, Computer Science, Theoretical Computer Science","Theoretical or Pure Mathematics, Practical Computer Science, Technical Computer Science, Theoretical Computer Science","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-mathematics-and-computer-science-w54198/?hec-id=w54198"
"42","70","APPLY","University","Saarland University","Embedded Systems","Master of Science, Master","Saarbrücken","Saarland","Computer Science","Computer Science, Embedded Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-embedded-systems-w58645/?hec-id=w58645"
"43","70","APPLY","University","Saarland University","Data Science and Artificial Intelligence","Master of Science, Master","Saarbrücken","Saarland","Artificial Intelligence, Applied Computer Science, Computer Science","Artificial Intelligence, Machine Learning, Database Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-data-science-and-artificial-intelligence-w63909/?hec-id=w63909"
"44","70","APPLY","University","Saarland University","Cybersecurity","Master of Science, Master","Saarbrücken","Saarland","Artificial Intelligence, Applied Computer Science, Computer Science, Practical Computer Science, Software Engineering","Cyber-Security, IT Security, Secure Computer Systems, Privacy – Personal Data Protection in the Digital World, Cryptography, Malware, Cyber Attacks, Usable Security, Web Security, Machine Learning in Cybersecurity","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-cybersecurity-w64998/?hec-id=w64998"
"45","70","APPLY","University","Saarland University","Quanteninformationstheorie","Master of Science, Master","Saarbrücken","Saarland","Mathematics, Computer Science","Mathematische Grundlagen der Quanteninformationstheorie, Quantenalgorithmen, Nachrichtenübertragung mit Quanten","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-quanteninformationstheorie-w77369/?hec-id=w77369"
"46","70","APPLY","University","Saarland University","Computer science","Master of Science, Master","Saarbrücken","Saarland","Computer Science","Security and Privacy, Security, Telecommunications, Image Processing and Computer Vision, Compiler Construction, Verification Complexity Theory, Complexity Theory, etc., Human-Computer Interaction, Machine Learning Human-Computer-Interaction, Artificial Intelligence","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/saarland-university-computer-science-w7881/?hec-id=w7881"
"47","70","APPLY","TU","Technical University of Applied Sciences of Central Hesse - THM","Control, Computer and Communications Engineering","Master of Science, Master","Gießen, Friedberg","Hessen","Information Technology, Communications Technology, Computer Engineering","Control Engineering, Computer Engineering, Communications Engineering, Without specialisation","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-applied-sciences-of-central-hesse-thm-control-computer-and-communications-engineering-w61781/?hec-id=w61781"
"48","70","APPLY","TU","Technical University of Darmstadt","IT Security","Master of Science, Master","Darmstadt","Hessen","Computer Science","Cryptography and Foundations, Systems and Communication Security, Software and Application Security, Complementary topics (also without direct IT security reference)","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-it-security-w29660/?hec-id=w29660"
"49","70","APPLY","TU","Technical University of Darmstadt","Data and Discourse Studies","Master of Arts, Master","Darmstadt","Hessen","Computational Linguistics, Data Science","Discourse analysis, Literary Studies, Linguistics, History, Computer Science, Political Science, Philosophy, Digital Humanities","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-data-and-discourse-studies-w63866/?hec-id=w63866"
"50","70","APPLY","TU","Technical University of Darmstadt","Artificial Intelligence and Machine Learning","Master of Science, Master","Darmstadt","Hessen","Artificial Intelligence, Engineering Informatics","Foundations of Artificial Intelligence, AI Models and Methods, AI Systems, AI Domains and Applications","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-artificial-intelligence-and-machine-learning-w69294/?hec-id=w69294"
"51","70","APPLY","TU","Technical University of Darmstadt","Computer Science","Master of Science, Master","Darmstadt","Hessen","Applied Computer Science, Computer Science, Theoretical Computer Science, Engineering Informatics, Data Science","Software, Hardware, Practical Computer Science, Technical Computer Science, Applied Computer Science, Data Science and Engineering, Data Systems Applications","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-computer-science-w69295/?hec-id=w69295"
"52","70","APPLY","Hochschule","Technische Hochschule Brandenburg","Interactive Media","Master of Science, Master","Brandenburg","Brandenburg","Media Informatics, Applied Computer Science","Interactive Media","644","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-brandenburg-interactive-media-w73172/?hec-id=w73172"
"53","70","APPLY","TU","TU Dortmund University","Econometrics","Master of Science, Master","Dortmund","North Rhine-Westphalia","Applied Mathematics, Statistics, Artificial Intelligence, Data Science","Ökonometrische Methoden und Modelle, Kausalanalyse und Wirkungsabschätzung, Statistische Inferenz und Hypothesentests, Zeitreihen- und Finanzökonometrie, Program Evaluation und Policy Analysis","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/tu-dortmund-university-econometrics-w64087/?hec-id=w64087"
"54","70","APPLY","TU","TU Dortmund University","Data Science","Master of Science, Master","Dortmund","North Rhine-Westphalia","Applied Mathematics, Statistics, Artificial Intelligence, Applied Computer Science, Data Science","Datenanalyse, Deep Learning, Künstliche Intelligenz, Maschinelles Lernen, Numerische Verfahren, Optimierung, Statistik","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/tu-dortmund-university-data-science-w7041/?hec-id=w7041"
"55","70","APPLY","Hochschule","University of Applied Sciences for Medium-Sized Companies (FHM)","General Technology Management","Master of Business Administration, Master","Bielefeld, Köln, Frechen, Bamberg, Rostock, Hannover, Berlin, Waldshut-Tiengen","North Rhine-Westphalia, Bavaria, Mecklenburg-West Pomerania, Lower Saxony, Berlin, Baden-Württemberg","Technology Management, Data Science","","","Admission in all trimesters","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-for-medium-sized-companies-fhm-general-technology-management-w64989/?hec-id=w64989"
"56","70","APPLY","Hochschule","University of Applied Sciences Neubrandenburg","Geomatics","Master of Engineering, Master","Neubrandenburg","Mecklenburg-West Pomerania","Engineering Informatics","Geoinformatics, Geodesy","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-neubrandenburg-geomatics-w14504/?hec-id=w14504"
"57","70","APPLY","University","University of Augsburg","Geo-informatics","Master of Science, Master","Augsburg","Bavaria","Geoinformatics, Applied Computer Science","Analysis of Geographical Processes and Spatial Data, Geosimulation, Geographical Process Modelling and Visualisation, Visual Geodata Mining","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-augsburg-geo-informatics-w39353/?hec-id=w39353"
"58","70","APPLY","University","University of Augsburg","Medical Information Sciences","Master of Science, Master","Augsburg","Bavaria","Medical Informatics, Applied Computer Science","Medical Data Science, Digital Health, Personalized Medicine, Healthcare IT, Medical Informatics, Bioinformatics, Medical Image and Signal Processing, Database Systems","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-augsburg-medical-information-sciences-w65058/?hec-id=w65058"
"59","70","APPLY","University","University of Erlangen-Nuremberg","Data Science","Master of Science, Master","Erlangen","Bavaria","Data Science","","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-data-science-w64790/?hec-id=w64790"
"60","70","APPLY","University","University of Hannover","Computational Methods in Engineering","Master of Science, Master","Hannover","Lower Saxony","Information Technology, Communications Technology, Engineering Informatics","Mathematics, Computer Science, Mechanics, Modelling, Simulation","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computational-methods-in-engineering-w57774/?hec-id=w57774"
"61","70","APPLY","University","University of Konstanz","Computer and Information Science","Master of Science, Master","Konstanz","Baden-Württemberg","Computer Science","Algorithmics, Data Science, Interactive Systems, Software and Systems, Visual Computing, Media Design Exhibition","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-konstanz-computer-and-information-science-w6312/?hec-id=w6312"
"62","70","APPLY","University","University of Magdeburg","Computational Methods in Engineering","Master of Science, Master","Magdeburg","Saxony-Anhalt","Electrical Engineering, Applied Mathematics, Software Engineering","Numerical Simulation, Structural Analysis, Fluid Mechanics, Thermomechanical Processes, Electromechanical Interactions, Optimization, Multibody Dynamics, Biomechanics","","Winter Semester only","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-computational-methods-in-engineering-w68078/?hec-id=w68078"
"63","70","APPLY","University","University of Magdeburg","Data and Knowledge Engineering","Master of Science, Master","Magdeburg","Saxony-Anhalt","Computer Science","Knowledge Discovery, Machine Learning, Data Mining, Data Warehousing, Database Technology, Data Representation, Knowledge Representation","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-data-and-knowledge-engineering-w7429/?hec-id=w7429"
"64","70","APPLY","University","University of Marburg","Business Mathematics","Master of Science, Master","Marburg","Hessen","Mathematics, Computer Science","Stochastics and Statistics, Finance and Insurance Mathematics, Accounting and Finance, Innovation and Information, Market-Oriented Company Management, Applied Mathematics, Numerics and optimisation","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-marburg-business-mathematics-w7727/?hec-id=w7727"
"65","70","APPLY","University","University of Passau","Mathematics","Master of Science, Master","Passau","Bavaria","Applied Mathematics, Mathematics, Computer Science","Algebra and Discrete Structures, Applied Analysis and Optimization, Functional Analysis and Stochastics, AI and Data Science, Applications, Occupational Skills","","Summer and Winter Semester","Without admission restriction","https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-mathematics-w59180/?hec-id=w59180"
